hospitalid,stays,windows,background_rate_pct
125,78,381,0.0
133,48,229,0.0
138,54,256,0.0
205,80,389,0.0
227,494,2367,0.0
246,20,95,0.0
226,468,2251,0.0
215,203,970,0.0
224,229,1094,0.0
220,234,1127,0.0
217,636,3038,0.0
198,334,1591,0.0
195,522,2527,0.0
196,117,562,0.0
197,789,3811,0.0
250,76,359,0.0
398,138,662,0.0
365,710,3410,0.0
364,92,438,0.0
360,101,482,0.0
350,30,142,0.0
357,144,699,0.0
355,24,118,0.0
353,261,1270,0.0
358,115,561,0.0
267,50,244,0.0
256,256,1235,0.0
437,22,104,0.0
434,134,640,0.0
438,84,408,0.0
414,27,131,0.0
421,234,1124,0.0
61,31,151,0.0
85,20,97,0.0
95,103,494,0.0
439,125,606,0.17
391,343,1644,0.18
131,105,501,0.2
382,502,2397,0.21
433,77,367,0.27
266,67,323,0.31
342,65,312,0.32
112,127,615,0.33
258,106,519,0.39
207,155,733,0.41
66,256,1214,0.41
203,42,201,0.5
201,40,193,0.52
435,482,2324,0.52
60,79,379,0.53
68,116,559,0.54
262,38,183,0.55
69,110,525,0.57
120,34,165,0.61
264,2459,11819,0.68
59,89,424,0.71
411,625,2977,0.74
123,53,255,0.78
110,778,3753,0.8
397,198,963,0.83
403,347,1651,0.85
56,97,467,0.86
254,239,1140,0.88
63,329,1567,0.89
259,305,1451,0.9
93,23,111,0.9
73,2551,12210,0.92
443,1657,7967,0.99
71,236,1108,0.99
122,1318,6373,1.13
423,103,498,1.2
413,527,2521,1.23
58,51,244,1.23
108,108,519,1.35
436,121,588,1.36
210,209,1011,1.38
429,132,631,1.43
67,96,465,1.51
424,164,795,1.64
204,77,363,1.65
208,1113,5340,1.89
412,52,249,2.01
143,192,926,2.38
393,36,168,2.38
402,136,649,2.62
422,171,832,2.64
279,257,1245,2.65
199,1262,6098,2.66
245,240,1146,2.79
396,279,1337,2.92
408,84,410,2.93
425,113,538,2.97
310,90,436,2.98
92,123,592,3.21
407,339,1641,3.29
251,81,387,3.36
175,159,763,3.54
399,85,409,3.91
420,2197,10553,3.96
209,31,151,3.97
244,443,2130,3.99
200,145,700,4.14
404,138,669,4.19
141,507,2420,4.21
416,774,3715,4.87
445,140,672,5.21
194,229,1093,5.22
328,101,481,5.41
248,709,3395,5.42
331,244,1163,5.5
390,515,2472,5.7
440,368,1757,5.86
202,260,1258,5.96
388,519,2491,6.06
392,366,1751,6.11
182,164,795,6.16
243,1534,7407,6.2
171,272,1315,6.31
188,879,4199,6.43
144,245,1185,6.5
419,145,693,6.64
206,376,1800,6.78
394,768,3707,6.88
252,1352,6493,7.3
142,595,2847,7.45
176,872,4211,7.46
164,36,174,7.47
307,378,1823,7.84
165,512,2470,8.02
155,108,517,8.12
140,166,799,8.14
249,103,490,8.16
148,590,2826,8.24
272,514,2461,8.37
383,154,745,8.46
381,84,405,8.64
167,1083,5229,9.06
300,677,3246,9.09
345,236,1120,9.29
312,125,600,9.33
384,334,1596,9.4
273,110,533,9.57
157,407,1946,9.82
79,461,2200,9.95
158,75,359,10.03
458,1513,7256,10.14
269,272,1298,10.25
459,176,832,10.34
387,232,1120,10.8
301,333,1588,11.46
282,282,1331,11.5
428,84,404,11.88
352,37,175,12.0
184,380,1825,12.22
174,23,112,12.5
283,787,3772,12.62
405,119,577,13.0
183,669,3207,13.1
181,340,1645,13.31
154,285,1369,13.51
338,1317,6317,13.58
253,130,618,13.75
280,509,2453,14.31
337,167,801,14.98
389,120,572,16.26
281,1126,5433,16.77
277,557,2668,16.87
180,203,981,17.64
417,728,3492,18.16
318,370,1773,20.87
452,266,1266,21.25
271,303,1459,21.52
268,240,1155,23.03
400,706,3419,24.16
152,309,1486,25.24
336,256,1225,25.63
146,240,1154,26.17
303,59,280,27.5
449,991,4751,27.8
275,200,947,28.41
386,177,844,29.15
444,447,2153,29.45
