hospitalid,stays,windows,background_rate_pct,pct_stays_with_any_event
125,78,381,0.0,9.0
133,48,229,0.0,2.1
138,54,256,0.0,3.7
205,80,389,0.0,1.2
227,494,2367,0.0,0.0
246,20,95,0.0,0.0
226,468,2251,0.0,0.0
215,203,970,0.0,0.0
224,229,1094,0.0,0.0
220,234,1127,0.0,0.0
217,636,3038,0.0,0.0
198,334,1591,0.0,0.0
195,522,2527,0.0,0.0
196,117,562,0.0,0.0
197,789,3811,0.0,0.0
250,76,359,0.0,1.3
398,138,662,0.0,4.3
365,710,3410,0.0,0.0
364,92,438,0.0,0.0
360,101,482,0.0,0.0
350,30,142,0.0,40.0
357,144,699,0.0,0.0
355,24,118,0.0,0.0
353,261,1270,0.0,0.0
358,115,561,0.0,0.0
267,50,244,0.0,0.0
256,256,1235,0.0,0.4
437,22,104,0.0,0.0
434,134,640,0.0,1.5
438,84,408,0.0,0.0
414,27,131,0.0,22.2
421,234,1124,0.0,0.0
61,31,151,0.0,16.1
85,20,97,0.0,35.0
95,103,494,0.0,0.0
439,125,606,0.17,0.8
391,343,1644,0.18,7.3
131,105,501,0.2,59.0
382,502,2397,0.21,9.2
433,77,367,0.27,1.3
266,67,323,0.31,46.3
342,65,312,0.32,1.5
112,127,615,0.33,33.9
258,106,519,0.39,17.9
207,155,733,0.41,17.4
66,256,1214,0.41,25.8
203,42,201,0.5,21.4
201,40,193,0.52,22.5
435,482,2324,0.52,2.7
60,79,379,0.53,20.3
68,116,559,0.54,26.7
262,38,183,0.55,57.9
69,110,525,0.57,21.8
120,34,165,0.61,14.7
264,2459,11819,0.68,31.5
59,89,424,0.71,31.5
411,625,2977,0.74,33.1
123,53,255,0.78,30.2
110,778,3753,0.8,22.1
397,198,963,0.83,58.6
403,347,1651,0.85,47.8
56,97,467,0.86,13.4
254,239,1140,0.88,41.8
63,329,1567,0.89,49.8
259,305,1451,0.9,54.1
93,23,111,0.9,8.7
73,2551,12210,0.92,36.3
443,1657,7967,0.99,58.9
71,236,1108,0.99,41.1
122,1318,6373,1.13,38.0
423,103,498,1.2,17.5
413,527,2521,1.23,53.3
58,51,244,1.23,31.4
108,108,519,1.35,4.6
436,121,588,1.36,18.2
210,209,1011,1.38,31.1
429,132,631,1.43,6.8
67,96,465,1.51,30.2
424,164,795,1.64,19.5
204,77,363,1.65,49.4
208,1113,5340,1.89,48.7
412,52,249,2.01,63.5
143,192,926,2.38,21.9
393,36,168,2.38,2.8
402,136,649,2.62,10.3
422,171,832,2.64,15.8
279,257,1245,2.65,8.2
199,1262,6098,2.66,60.6
245,240,1146,2.79,12.1
396,279,1337,2.92,17.6
408,84,410,2.93,15.5
425,113,538,2.97,28.3
310,90,436,2.98,27.8
92,123,592,3.21,8.9
407,339,1641,3.29,26.0
251,81,387,3.36,14.8
175,159,763,3.54,37.1
399,85,409,3.91,16.5
420,2197,10553,3.96,45.0
209,31,151,3.97,41.9
244,443,2130,3.99,23.5
200,145,700,4.14,30.3
404,138,669,4.19,9.4
141,507,2420,4.21,32.5
416,774,3715,4.87,45.5
445,140,672,5.21,34.3
194,229,1093,5.22,24.5
328,101,481,5.41,9.9
248,709,3395,5.42,46.4
331,244,1163,5.5,38.5
390,515,2472,5.7,52.2
440,368,1757,5.86,54.9
202,260,1258,5.96,74.2
388,519,2491,6.06,53.0
392,366,1751,6.11,30.6
182,164,795,6.16,31.1
243,1534,7407,6.2,45.8
171,272,1315,6.31,40.4
188,879,4199,6.43,53.1
144,245,1185,6.5,46.1
419,145,693,6.64,38.6
206,376,1800,6.78,86.4
394,768,3707,6.88,35.3
252,1352,6493,7.3,52.6
142,595,2847,7.45,65.4
176,872,4211,7.46,57.0
164,36,174,7.47,16.7
307,378,1823,7.84,45.5
165,512,2470,8.02,58.4
155,108,517,8.12,50.9
140,166,799,8.14,49.4
249,103,490,8.16,29.1
148,590,2826,8.24,61.0
272,514,2461,8.37,18.5
383,154,745,8.46,48.7
381,84,405,8.64,20.2
167,1083,5229,9.06,58.9
300,677,3246,9.09,51.3
345,236,1120,9.29,45.8
312,125,600,9.33,48.0
384,334,1596,9.4,51.8
273,110,533,9.57,24.5
157,407,1946,9.82,71.0
79,461,2200,9.95,25.8
158,75,359,10.03,44.0
458,1513,7256,10.14,52.1
269,272,1298,10.25,24.3
459,176,832,10.34,42.6
387,232,1120,10.8,40.9
301,333,1588,11.46,48.9
282,282,1331,11.5,23.4
428,84,404,11.88,63.1
352,37,175,12.0,59.5
184,380,1825,12.22,52.4
174,23,112,12.5,34.8
283,787,3772,12.62,25.5
405,119,577,13.0,50.4
183,669,3207,13.1,53.1
181,340,1645,13.31,41.5
154,285,1369,13.51,66.7
338,1317,6317,13.58,51.9
253,130,618,13.75,81.5
280,509,2453,14.31,28.7
337,167,801,14.98,55.7
389,120,572,16.26,38.3
281,1126,5433,16.77,36.3
277,557,2668,16.87,31.4
180,203,981,17.64,44.8
417,728,3492,18.16,45.3
318,370,1773,20.87,54.1
452,266,1266,21.25,62.0
271,303,1459,21.52,46.2
268,240,1155,23.03,41.7
400,706,3419,24.16,54.4
152,309,1486,25.24,75.4
336,256,1225,25.63,57.0
146,240,1154,26.17,52.1
303,59,280,27.5,62.7
449,991,4751,27.8,57.2
275,200,947,28.41,55.5
386,177,844,29.15,66.7
444,447,2153,29.45,59.7
