hospitalid,eligible_stays
420,609
264,510
167,471
176,226
188,224
148,205
157,191
183,182
165,180
281,170
154,122
142,103
394,95
184,92
141,90
440,89
181,86
155,84
259,82
79,71
444,69
146,63
171,62
283,51
275,45
277,43
243,42
182,40
416,40
152,39
445,39
273,38
180,37
280,35
419,35
272,35
226,32
194,31
271,30
268,28
227,28
144,24
158,24
428,23
258,20
266,20
244,20
269,19
282,19
140,18
175,17
411,13
262,13
318,12
433,12
143,11
425,10
422,8
436,6
424,6
423,6
279,4
352,4
164,3
429,3
245,2
174,2
252,2
253,1
351,1
256,1
248,1
