hospitalid,qualifying_stays
73,2551
264,2459
420,2197
443,1657
243,1534
458,1513
252,1352
122,1318
338,1317
199,1262
281,1126
208,1113
167,1083
449,991
188,879
176,872
197,789
283,787
110,778
416,774
394,768
417,728
365,710
248,709
400,706
300,677
183,669
217,636
411,625
142,595
148,590
277,557
413,527
195,522
388,519
390,515
272,514
165,512
280,509
141,507
382,502
227,494
435,482
226,468
79,461
444,447
244,443
157,407
184,380
307,378
206,376
318,370
440,368
392,366
403,347
391,343
181,340
407,339
198,334
384,334
301,333
63,329
152,309
259,305
271,303
154,285
282,282
396,279
171,272
269,272
452,266
353,261
202,260
279,257
66,256
256,256
336,256
144,245
331,244
146,240
245,240
268,240
254,239
71,236
345,236
220,234
421,234
387,232
194,229
224,229
210,209
180,203
215,203
275,200
397,198
143,192
386,177
459,176
422,171
337,167
140,166
182,164
424,164
175,159
207,155
383,154
200,145
419,145
357,144
445,140
398,138
404,138
402,136
434,134
429,132
253,130
112,127
312,125
439,125
92,123
436,121
389,120
405,119
196,117
68,116
358,115
425,113
69,110
273,110
108,108
155,108
258,106
131,105
95,103
249,103
423,103
328,101
360,101
56,97
67,96
364,92
310,90
59,89
399,85
381,84
408,84
438,84
428,84
251,81
205,80
60,79
125,78
204,77
433,77
250,76
158,75
266,67
342,65
303,59
138,54
123,53
412,52
58,51
267,50
133,48
203,42
201,40
262,38
352,37
164,36
393,36
120,34
61,31
209,31
350,30
414,27
355,24
93,23
174,23
437,22
85,20
246,20
102,17
356,17
84,16
115,16
83,15
179,13
363,12
263,11
447,10
401,9
323,7
351,6
91,5
94,3
135,3
265,3
409,3
96,2
86,2
90,2
361,2
385,2
151,1
212,1
